,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0.0,0.5,1,
0,159,159,159,159,159,159,159,159,159,159,83,86,86,
10,159,159,159,159,159,159,159,159,159,159,83,86,86,
20,159,159,159,159,159,159,159,159,159,159,83,86,86,
30,159,159,159,159,159,159,159,159,159,159,83,86,86,
40,159,159,159,159,159,159,159,159,159,159,83,86,86,
50,159,159,159,159,159,159,159,159,159,159,83,86,86,
60,159,159,159,159,159,159,159,159,159,159,83,86,86,
70,159,159,159,159,159,159,159,159,159,159,83,86,86,
80,159,159,159,159,159,159,159,159,159,159,83,86,86,
90,159,159,159,159,159,159,159,159,159,159,83,86,86,
100,159,159,159,159,159,159,159,159,159,159,83,86,86,
-1,159,159,159,159,159,159,159,159,159,159,83,86,86,
-0.5,159,159,159,159,159,159,159,159,159,159,83,86,86,
